"Pig","Treatment","Pen","Time","Temperature_C"
"21-10","B",19,12,40.7777777777778
"8-12","D",20,12,41
"2-12","C",21,12,40.5
"3-11","E",24,12,39.6111111111111
"10-4","A",25,12,39.6666666666667
"14-3","D",26,12,39.7222222222222
"3-8","A",27,12,39.7222222222222
"15-12","C",28,12,40
"15-11","B",29,12,39.8888888888889
"1-10","E",30,12,40.0555555555556
"14-17","C",31,12,40.6111111111111
"8-6","A",32,12,40.2777777777778
"10-17","B",36,12,38.8888888888889
"6-16","E",37,12,39.7222222222222
"11-10","A",38,12,40
"9-18","C",39,12,40
"22-7","D",40,12,40.0555555555556
"24-2","E",41,12,39.6666666666667
"20-3","B",42,12,40.3333333333333
"7-7","A",43,12,40.0555555555556
"2-4","D",44,12,39.2777777777778
"3-13","B",45,12,39.5555555555556
"20-4","D",46,12,40.0555555555556
"3-4","C",47,12,39.7222222222222
"25-8","E",48,12,39.1666666666667
"12-15","C",49,12,39.8888888888889
"16-5","D",50,12,39.8888888888889
"17-4","E",51,12,40.5
"2-13","B",52,12,39.6666666666667
"13-4","A",53,12,39.6111111111111
"15-6","E",56,12,40.1111111111111
"24-10","A",57,12,39.9444444444444
"9-4","D",58,12,40
"22-4","C",59,12,40
"15-5","B",60,12,39.7777777777778
"7-5","D",61,12,39.4444444444444
"22-13","A",62,12,40.1111111111111
"16-8","B",63,12,40.6666666666667
"13-11","E",68,12,40.0555555555556
"11-11","C",69,12,41.2222222222222
"14-8","D",70,12,40.3888888888889
"9-19","E",71,12,40.6666666666667
"5-1","C",72,12,41.0555555555556
"18-10","B",73,12,40.1111111111111
"23-9","A",74,12,39.7777777777778
"20-7","D",75,12,40.1666666666667
"15-15","B",78,12,39.7222222222222
"11-12","E",79,12,39.6666666666667
"14-5","A",80,12,40.4444444444444
"15-14","C",81,12,40.0555555555556
"9-1","B",82,12,39.8888888888889
"16-4","C",83,12,40.3333333333333
"14-13","A",84,12,40.0555555555556
"20-9","D",85,12,40.1111111111111
"14-15","E",86,12,39.9444444444444
