"sy","site","year","hyb","mg_ha","pt_acre","srad_total","ppt_total","susm","tmean","yield"
2,1,2012,86,6.55292873821824,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.5070371457309
2,1,2012,86,9.23310169915616,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,11.0884349198553
2,1,2012,86,10.9215478970304,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,9.91295156736278
2,1,2012,86,8.42967748604128,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,10.7641813857885
2,1,2012,86,11.6998651034854,26000,2.46793871864752,0.496004466532328,91.8464080995955,20.6067709412267,11.1483045208659
2,1,2012,89,7.32496919300832,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,9.43691726912536
2,1,2012,89,9.30842271913568,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,11.4153603486239
2,1,2012,89,11.4048577752323,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,11.08318039241
2,1,2012,90,4.53181470210112,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.8279798576136
2,1,2012,90,7.61369976959648,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,9.37455948161503
2,1,2012,90,10.6955848370918,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,10.936067220644
2,1,2012,91,3.47104367072288,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,8.03283945552299
2,1,2012,91,6.6533567648576,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,7.87450774382761
2,1,2012,91,11.1977249702886,26000,2.46793871864752,0.496004466532328,93.7879776363598,20.6999046082756,9.82245406110407
3,1,2014,25,9.823116,26506,2.28106024540452,3.48458973583946,85.039580031061,17.8885680680931,14.9924615296483
3,1,2014,34,9.942375,26506,2.28106024540452,3.48458973583946,85.039580031061,17.8885680680931,18.9301723532272
