"Treatment","Time","Material","Biological Rep","Technical Rep","Total CFU/coupon","Log CFU/coupon"
7,2,"C",3,1,0,2.44
7,2,"C",3,2,0,2.44
7,2,"D",1,1,0,2.44
7,2,"D",1,2,0,2.44
7,2,"D",2,1,2439.02428593873,3.28515613337965
7,2,"D",2,2,0,2.44
7,2,"D",3,1,0,2.44
7,2,"D",3,2,0,2.44
7,2,"E",1,1,0,2.44
7,2,"E",1,2,18902.4382160252,4.21637091143265
7,2,"E",2,1,0,2.44
7,2,"E",2,2,0,2.44
7,2,"E",3,1,0,2.44
7,2,"E",3,2,0,2.44
7,3,"A",1,1,0,2.44
7,3,"A",1,2,0,2.44
7,3,"A",2,1,0,2.44
7,3,"A",2,2,0,2.44
7,3,"A",3,1,0,2.44
7,3,"A",3,2,0,2.44
7,3,"B",1,1,609.756071484684,2.63464113554766
7,3,"B",1,2,1524.39017871171,3.13464113554766
7,3,"B",2,1,0,2.44
7,3,"B",2,2,0,2.44
7,3,"B",3,1,0,2.44
7,3,"B",3,2,0,2.44
7,3,"C",1,1,2439.02428593873,2.44
7,3,"C",1,2,3963.41446465044,3.6804746143455
7,3,"C",2,1,0,2.44
7,3,"C",2,2,0,2.44
7,3,"C",3,1,0,2.44
7,3,"C",3,2,0,2.44
7,3,"D",1,1,0,2.44
7,3,"D",1,2,0,2.44
7,3,"D",2,1,0,2.44
7,3,"D",2,2,0,2.44
7,3,"D",3,1,0,2.44
7,3,"D",3,2,0,2.44
7,3,"E",1,1,0,2.44
7,3,"E",1,2,0,2.44
7,3,"E",2,1,0,2.44
7,3,"E",2,2,0,2.44
7,3,"E",3,1,0,2.44
7,3,"E",3,2,0,2.44
6,2,"A",1,1,0,2.44
6,2,"A",1,2,0,2.44
6,2,"A",2,1,0,2.44
6,2,"A",2,2,0,2.44
6,2,"A",3,1,32926.8278601729,4.46808724108092
6,2,"A",3,2,0,2.44
6,2,"B",1,1,16463.4139300865,4.1619476628261
6,2,"B",1,2,14634.1457156324,4.14647309464655
6,2,"B",2,1,0,2.44
6,2,"B",2,2,0,2.44
6,2,"B",3,1,0,2.44
6,2,"B",3,2,0,2.44
